CountyFIPS,County,StateAbbr,State,Year,Population,Geolocation,Days_with_AQI,Good_Days,Moderate_Days,USG_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days,Max_AQI,AQI_90th_Percentile,Median_AQI,Days_NO2,Days_Ozone,Days_PM2_5,Days_PM10,Smoking_AdjPrev,Disease,Disease_AdjPrev
01003,Baldwin,AL,Alabama,2019,"223,234",POINT (-87.72275422 30.72811673),271,221,50,0,0,0,0,80,55,40,0,198,73,0,19.9,COPD,6.9
01003,Baldwin,AL,Alabama,2019,"223,234",POINT (-87.72275422 30.72811673),271,221,50,0,0,0,0,80,55,40,0,198,73,0,19.9,Current Asthma,8.9
01027,Clay,AL,Alabama,2019,"13,235",POINT (-85.86076142 33.26916978),107,75,32,0,0,0,0,71,56,41,0,0,107,0,25.6,COPD,10.1
01027,Clay,AL,Alabama,2019,"13,235",POINT (-85.86076142 33.26916978),107,75,32,0,0,0,0,71,56,41,0,0,107,0,25.6,Current Asthma,10.6
01033,Colbert,AL,Alabama,2019,"55,241",POINT (-87.80480288 34.70084917),263,238,25,0,0,0,0,65,50,38,0,219,44,0,21.5,COPD,8.2
01033,Colbert,AL,Alabama,2019,"55,241",POINT (-87.80480288 34.70084917),263,238,25,0,0,0,0,65,50,38,0,219,44,0,21.5,Current Asthma,9.7
01049,DeKalb,AL,Alabama,2019,"71,513",POINT (-85.8035973 34.4602025),361,303,58,0,0,0,0,90,54,39,0,306,55,0,25.0,COPD,10.2
01049,DeKalb,AL,Alabama,2019,"71,513",POINT (-85.8035973 34.4602025),361,303,58,0,0,0,0,90,54,39,0,306,55,0,25.0,Current Asthma,10.2
01051,Elmore,AL,Alabama,2019,"81,209",POINT (-86.14875636 32.59685888),228,208,20,0,0,0,0,100,50,39,0,228,0,0,20.4,COPD,7.4
01051,Elmore,AL,Alabama,2019,"81,209",POINT (-86.14875636 32.59685888),228,208,20,0,0,0,0,100,50,39,0,228,0,0,20.4,Current Asthma,9.7
01055,Etowah,AL,Alabama,2019,"102,268",POINT (-86.03539165 34.04522195),279,201,78,0,0,0,0,90,58,44,0,201,78,0,23.5,COPD,8.7
01055,Etowah,AL,Alabama,2019,"102,268",POINT (-86.03539165 34.04522195),279,201,78,0,0,0,0,90,58,44,0,201,78,0,23.5,Current Asthma,9.9
01069,Houston,AL,Alabama,2019,"105,882",POINT (-85.30249702 31.15350797),280,230,50,0,0,0,0,77,55,38,0,181,99,0,21.7,COPD,8.3
01069,Houston,AL,Alabama,2019,"105,882",POINT (-85.30249702 31.15350797),280,230,50,0,0,0,0,77,55,38,0,181,99,0,21.7,Current Asthma,10.2
01073,Jefferson,AL,Alabama,2019,"658,573",POINT (-86.89673378 33.55458811),365,85,267,13,0,0,0,150,80,58,0,75,289,1,17.6,COPD,7.0
01073,Jefferson,AL,Alabama,2019,"658,573",POINT (-86.89673378 33.55458811),365,85,267,13,0,0,0,150,80,58,0,75,289,1,17.6,Current Asthma,9.8
01079,Lawrence,AL,Alabama,2019,"32,924",POINT (-87.31069915 34.52187809),112,98,14,0,0,0,0,58,51,32,0,0,112,0,25.6,COPD,9.6
01079,Lawrence,AL,Alabama,2019,"32,924",POINT (-87.31069915 34.52187809),112,98,14,0,0,0,0,58,51,32,0,0,112,0,25.6,Current Asthma,10.4
01089,Madison,AL,Alabama,2019,"372,909",POINT (-86.5506924 34.7629041),361,189,172,0,0,0,0,93,62,49,0,99,255,7,16.1,COPD,6.1
01089,Madison,AL,Alabama,2019,"372,909",POINT (-86.5506924 34.7629041),361,189,172,0,0,0,0,93,62,49,0,99,255,7,16.1,Current Asthma,9.6
01097,Mobile,AL,Alabama,2019,"413,210",POINT (-88.20658862 30.78657016),352,167,185,0,0,0,0,82,64,52,0,69,283,0,21.4,COPD,8.0
01097,Mobile,AL,Alabama,2019,"413,210",POINT (-88.20658862 30.78657016),352,167,185,0,0,0,0,82,64,52,0,69,283,0,21.4,Current Asthma,9.7
01101,Montgomery,AL,Alabama,2019,"226,486",POINT (-86.20804808 32.22034164),365,84,280,1,0,0,0,122,71,57,0,18,346,1,20.1,COPD,7.2
01101,Montgomery,AL,Alabama,2019,"226,486",POINT (-86.20804808 32.22034164),365,84,280,1,0,0,0,122,71,57,0,18,346,1,20.1,Current Asthma,9.9
01103,Morgan,AL,Alabama,2019,"119,679",POINT (-86.85332071 34.4534685),365,247,118,0,0,0,0,93,58,45,0,145,220,0,20.6,COPD,8.0
01103,Morgan,AL,Alabama,2019,"119,679",POINT (-86.85332071 34.4534685),365,247,118,0,0,0,0,93,58,45,0,145,220,0,20.6,Current Asthma,9.6
01113,Russell,AL,Alabama,2019,"57,961",POINT (-85.18445744 32.28842421),363,195,168,0,0,0,0,84,63,48,0,64,299,0,21.7,COPD,8.3
01113,Russell,AL,Alabama,2019,"57,961",POINT (-85.18445744 32.28842421),363,195,168,0,0,0,0,84,63,48,0,64,299,0,21.7,Current Asthma,10.6
01117,Shelby,AL,Alabama,2019,"217,702",POINT (-86.66104603 33.26422221),244,202,39,3,0,0,0,119,61,42,0,244,0,0,15.3,COPD,5.7
01117,Shelby,AL,Alabama,2019,"217,702",POINT (-86.66104603 33.26422221),244,202,39,3,0,0,0,119,61,42,0,244,0,0,15.3,Current Asthma,8.7
01119,Sumter,AL,Alabama,2019,"12,427",POINT (-88.1995063 32.58923369),354,287,67,0,0,0,0,67,54,38,0,115,239,0,23.2,COPD,9.1
01119,Sumter,AL,Alabama,2019,"12,427",POINT (-88.1995063 32.58923369),354,287,67,0,0,0,0,67,54,38,0,115,239,0,23.2,Current Asthma,11.6
01125,Tuscaloosa,AL,Alabama,2019,"209,355",POINT (-87.52507429 33.28961016),264,217,47,0,0,0,0,87,54,39,0,173,91,0,20.2,COPD,7.5
01125,Tuscaloosa,AL,Alabama,2019,"209,355",POINT (-87.52507429 33.28961016),264,217,47,0,0,0,0,87,54,39,0,173,91,0,20.2,Current Asthma,9.9
02013,Aleutians East,AK,Alaska,2019,"3,337",POINT (-161.979848 55.35903757),121,119,2,0,0,0,0,55,29,14,0,0,121,0,19.5,COPD,5.7
02013,Aleutians East,AK,Alaska,2019,"3,337",POINT (-161.979848 55.35903757),121,119,2,0,0,0,0,55,29,14,0,0,121,0,19.5,Current Asthma,7.6
02020,Anchorage,AK,Alaska,2019,"288,000",POINT (-149.1141071 61.1504589),365,254,102,5,4,0,0,163,67,32,0,0,285,75,15.3,COPD,5.0
02020,Anchorage,AK,Alaska,2019,"288,000",POINT (-149.1141071 61.1504589),365,254,102,5,4,0,0,163,67,32,0,0,285,75,15.3,Current Asthma,9.2
02050,Bethel,AK,Alaska,2019,"18,386",POINT (-159.8247503 60.91560276),317,302,13,1,1,0,0,185,34,13,0,0,212,105,34.9,COPD,11.6
02050,Bethel,AK,Alaska,2019,"18,386",POINT (-159.8247503 60.91560276),317,302,13,1,1,0,0,185,34,13,0,0,212,105,34.9,Current Asthma,12.9
