CountyFIPS,Year,Days_with_AQI,Good_Days,Moderate_Days,USG_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days,Max_AQI,AQI_90th_Percentile,Median_AQI,Days_NO2,Days_Ozone,Days_PM2_5,Days_PM10,AQI_Coverage_Pct,Poor_Air_Days,Poor_Air_Days_Pct,is_extreme_aqi,is_extreme_aqi_high,is_extreme_aqi_low
1003,2019,271,221,50,0,0,0,0,80,55,40,0,198,73,0,74.24657534246575,0,0.0,False,False,False
1003,2020,269,223,46,0,0,0,0,74,54,38,0,178,91,0,73.49726775956285,0,0.0,False,False,False
1003,2021,280,248,32,0,0,0,0,63,52,37,0,199,81,0,76.71232876712328,0,0.0,False,False,False
1003,2022,281,237,44,0,0,0,0,97,52,39,0,201,80,0,76.98630136986301,0,0.0,False,False,False
1033,2019,263,238,25,0,0,0,0,65,50,38,0,219,44,0,72.05479452054794,0,0.0,False,False,False
1049,2019,361,303,58,0,0,0,0,90,54,39,0,306,55,0,98.9041095890411,0,0.0,False,False,False
1049,2020,364,332,32,0,0,0,0,91,49,37,0,309,55,0,99.4535519125683,0,0.0,False,False,False
1049,2021,361,315,46,0,0,0,0,84,53,37,0,298,63,0,98.9041095890411,0,0.0,False,False,False
1049,2022,364,323,41,0,0,0,0,97,52,38,0,305,59,0,99.72602739726028,0,0.0,False,False,False
1051,2019,228,208,20,0,0,0,0,100,50,39,0,228,0,0,62.465753424657535,0,0.0,False,False,False
1051,2020,197,197,0,0,0,0,0,47,41,31,0,197,0,0,53.825136612021865,0,0.0,False,False,False
1051,2021,241,238,3,0,0,0,0,87,44,32,0,241,0,0,66.02739726027397,0,0.0,False,False,False
1051,2022,240,232,8,0,0,0,0,74,44,33,0,240,0,0,65.75342465753424,0,0.0,False,False,False
1055,2019,279,201,78,0,0,0,0,90,58,44,0,201,78,0,76.43835616438356,0,0.0,False,False,False
1055,2020,276,239,37,0,0,0,0,93,53,36,0,191,85,0,75.40983606557377,0,0.0,False,False,False
1055,2021,286,235,51,0,0,0,0,80,57,38,0,201,85,0,78.35616438356165,0,0.0,False,False,False
1055,2022,359,224,135,0,0,0,0,93,60,46,0,93,266,0,98.35616438356163,0,0.0,False,False,False
1069,2019,280,230,50,0,0,0,0,77,55,38,0,181,99,0,76.71232876712328,0,0.0,False,False,False
1073,2019,365,85,267,13,0,0,0,150,80,58,0,75,289,1,100.0,13,3.5616438356164384,False,False,False
1073,2020,366,119,244,3,0,0,0,129,70,54,0,58,308,0,100.0,3,0.819672131147541,False,False,False
1073,2021,365,104,256,3,2,0,0,189,77,56,1,47,317,0,100.0,5,1.36986301369863,False,False,False
1073,2022,365,128,235,2,0,0,0,105,71,54,0,66,299,0,100.0,2,0.547945205479452,False,False,False
1089,2019,361,189,172,0,0,0,0,93,62,49,0,99,255,7,98.9041095890411,0,0.0,False,False,False
1089,2020,364,210,154,0,0,0,0,89,59,47,0,72,288,4,99.4535519125683,0,0.0,False,False,False
1089,2021,357,189,166,2,0,0,0,105,62,49,0,59,285,13,97.80821917808218,2,0.5602240896358543,False,False,False
1089,2022,365,201,164,0,0,0,0,97,61,48,0,68,293,4,100.0,0,0.0,False,False,False
1097,2019,352,167,185,0,0,0,0,82,64,52,0,69,283,0,96.43835616438356,0,0.0,False,False,False
1097,2020,348,188,160,0,0,0,0,78,62,49,0,84,264,0,95.08196721311477,0,0.0,False,False,False
1097,2021,361,125,236,0,0,0,0,83,62,53,0,35,326,0,98.9041095890411,0,0.0,False,False,False
1097,2022,363,235,128,0,0,0,0,93,58,44,0,99,264,0,99.45205479452056,0,0.0,False,False,False
1101,2019,365,84,280,1,0,0,0,122,71,57,0,18,346,1,100.0,1,0.273972602739726,False,False,False
1101,2020,361,70,289,2,0,0,0,116,70,58,0,18,343,0,98.63387978142076,2,0.554016620498615,False,False,False
1101,2021,354,222,132,0,0,0,0,93,60,44,0,86,268,0,96.986301369863,0,0.0,False,False,False
1101,2022,363,269,94,0,0,0,0,96,57,41,0,163,200,0,99.45205479452056,0,0.0,False,False,False
1103,2019,365,247,118,0,0,0,0,93,58,45,0,145,220,0,100.0,0,0.0,False,False,False
1103,2020,355,251,104,0,0,0,0,75,58,41,0,96,259,0,96.99453551912568,0,0.0,False,False,False
1103,2021,365,209,156,0,0,0,0,97,63,47,0,71,294,0,100.0,0,0.0,False,False,False
1103,2022,365,208,156,1,0,0,0,111,63,47,0,82,283,0,100.0,1,0.273972602739726,False,False,False
1113,2019,363,195,168,0,0,0,0,84,63,48,0,64,299,0,99.45205479452056,0,0.0,False,False,False
1113,2020,365,236,129,0,0,0,0,99,61,44,0,49,316,0,99.72677595628416,0,0.0,False,False,False
1113,2021,364,214,147,3,0,0,0,142,65,47,0,51,313,0,99.72602739726028,3,0.8241758241758242,False,False,False
1113,2022,364,208,156,0,0,0,0,97,61,46,0,69,295,0,99.72602739726028,0,0.0,False,False,False
1117,2019,244,202,39,3,0,0,0,119,61,42,0,244,0,0,66.84931506849315,3,1.2295081967213115,False,False,False
1117,2020,241,232,9,0,0,0,0,67,46,34,0,241,0,0,65.84699453551912,0,0.0,False,False,False
1117,2021,243,231,12,0,0,0,0,77,48,35,0,243,0,0,66.57534246575342,0,0.0,False,False,False
1117,2022,245,225,19,1,0,0,0,105,50,37,0,245,0,0,67.12328767123287,1,0.4081632653061224,False,False,False
1125,2019,264,217,47,0,0,0,0,87,54,39,0,173,91,0,72.32876712328768,0,0.0,False,False,False
