CountyFIPS,Year,DiseaseID,Disease_AdjPrev
1003,2019,1,6.9
1003,2019,2,8.9
1003,2020,1,6.7
1003,2020,2,9.3
1003,2021,1,6.5
1003,2021,2,9.9
1003,2022,1,6.0
1003,2022,2,9.4
1033,2019,1,8.2
1033,2019,2,9.7
1049,2019,1,10.2
1049,2019,2,10.2
1049,2020,1,10.3
1049,2020,2,10.3
1049,2021,1,9.5
1049,2021,2,10.8
1049,2022,1,9.2
1049,2022,2,10.1
1051,2019,1,7.4
1051,2019,2,9.7
1051,2020,1,7.1
1051,2020,2,9.6
1051,2021,1,6.7
1051,2021,2,10.2
1051,2022,1,6.6
1051,2022,2,10.0
1055,2019,1,8.7
1055,2019,2,9.9
1055,2020,1,8.5
1055,2020,2,10.1
1055,2021,1,8.1
1055,2021,2,10.7
1055,2022,1,8.2
1055,2022,2,10.3
1069,2019,1,8.3
1069,2019,2,10.2
1073,2019,1,7.0
1073,2019,2,9.8
1073,2020,1,6.7
1073,2020,2,9.8
1073,2021,1,6.1
1073,2021,2,10.4
1073,2022,1,6.2
1073,2022,2,9.9
1089,2019,1,6.1
1089,2019,2,9.6
1089,2020,1,6.1
1089,2020,2,9.3
1089,2021,1,5.6
1089,2021,2,9.7
1089,2022,1,5.2
1089,2022,2,9.4
1097,2019,1,8.0
1097,2019,2,9.7
1097,2020,1,7.8
1097,2020,2,10.3
1097,2021,1,7.6
1097,2021,2,10.9
1097,2022,1,6.9
1097,2022,2,9.8
1101,2019,1,7.2
1101,2019,2,9.9
1101,2020,1,7.1
1101,2020,2,10.7
1101,2021,1,6.8
1101,2021,2,11.0
1101,2022,1,6.7
1101,2022,2,10.8
1103,2019,1,8.0
1103,2019,2,9.6
1103,2020,1,8.2
1103,2020,2,9.8
1103,2021,1,7.7
1103,2021,2,10.5
1103,2022,1,7.2
1103,2022,2,9.9
1113,2019,1,8.3
1113,2019,2,10.6
1113,2020,1,8.4
1113,2020,2,10.9
1113,2021,1,7.9
1113,2021,2,11.3
1113,2022,1,8.0
1113,2022,2,11.1
1117,2019,1,5.7
1117,2019,2,8.7
1117,2020,1,5.6
1117,2020,2,9.0
1117,2021,1,5.2
1117,2021,2,9.3
1117,2022,1,4.8
1117,2022,2,9.4
1125,2019,1,7.5
1125,2019,2,9.9
1125,2020,1,7.3
1125,2020,2,10.1
1125,2021,1,7.0
1125,2021,2,10.2
1125,2022,1,6.7
1125,2022,2,10.2
2020,2019,1,5.0
2020,2019,2,9.2
2020,2020,1,4.6
2020,2020,2,9.2
2020,2021,1,5.3
2020,2021,2,9.3
2020,2022,1,5.2
2020,2022,2,10.6
2050,2019,1,11.6
2050,2019,2,12.9
2090,2019,1,5.3
2090,2019,2,9.5
2090,2020,1,5.0
2090,2020,2,9.0
2090,2021,1,5.4
2090,2021,2,9.1
2090,2022,1,5.0
2090,2022,2,10.0
2110,2019,1,4.8
2110,2019,2,9.2
2110,2020,1,4.5
2110,2020,2,9.2
2110,2021,1,5.1
2110,2021,2,9.3
2110,2022,1,5.2
2110,2022,2,10.2
2170,2019,1,6.1
2170,2019,2,9.5
2170,2020,1,5.7
2170,2020,2,9.4
2170,2021,1,6.5
2170,2021,2,9.7
2170,2022,1,6.2
2170,2022,2,10.7
4001,2019,1,11.1
4001,2019,2,12.8
4001,2020,1,10.7
4001,2020,2,13.4
4001,2021,1,10.4
4001,2021,2,13.6
4001,2022,1,10.4
4001,2022,2,14.4
4003,2019,1,6.1
4003,2019,2,10.0
4003,2020,1,6.3
4003,2020,2,10.5
4003,2021,1,6.2
4003,2021,2,10.6
4003,2022,1,6.4
4003,2022,2,10.5
4005,2019,1,6.4
4005,2019,2,9.8
4005,2020,1,6.6
4005,2020,2,11.4
4005,2021,1,6.4
4005,2021,2,11.2
4005,2022,1,6.4
4005,2022,2,11.7
4007,2019,1,7.6
4007,2019,2,10.7
4007,2020,1,7.8
4007,2020,2,11.3
4007,2021,1,7.3
4007,2021,2,11.0
4007,2022,1,7.4
4007,2022,2,11.6
4012,2019,1,7.9
4012,2019,2,10.2
4012,2020,1,8.2
4012,2020,2,11.4
4012,2021,1,7.3
4012,2021,2,11.0
4012,2022,1,7.6
4012,2022,2,11.4
4013,2019,1,5.6
4013,2019,2,9.5
4013,2020,1,5.6
4013,2020,2,10.1
4013,2021,1,5.4
4013,2021,2,10.0
4013,2022,1,5.2
4013,2022,2,10.1
4015,2019,1,7.7
4015,2019,2,10.1
4015,2020,1,7.7
4015,2020,2,10.9
4015,2021,1,7.4
4015,2021,2,10.9
4015,2022,1,7.7
4015,2022,2,11.2
4017,2019,1,9.6
