CountyFIPS,Year,Disease,Disease_AdjPrev,is_extreme_disease
1003,2019,COPD,6.9,False
1003,2019,Current Asthma,8.9,False
1003,2020,COPD,6.7,False
1003,2020,Current Asthma,9.3,False
1003,2021,COPD,6.5,False
1003,2021,Current Asthma,9.9,False
1003,2022,COPD,6.0,False
1003,2022,Current Asthma,9.4,False
1033,2019,COPD,8.2,False
1033,2019,Current Asthma,9.7,False
1049,2019,COPD,10.2,True
1049,2019,Current Asthma,10.2,False
1049,2020,COPD,10.3,True
1049,2020,Current Asthma,10.3,False
1049,2021,COPD,9.5,False
1049,2021,Current Asthma,10.8,False
1049,2022,COPD,9.2,False
1049,2022,Current Asthma,10.1,False
1051,2019,COPD,7.4,False
1051,2019,Current Asthma,9.7,False
1051,2020,COPD,7.1,False
1051,2020,Current Asthma,9.6,False
1051,2021,COPD,6.7,False
1051,2021,Current Asthma,10.2,False
1051,2022,COPD,6.6,False
1051,2022,Current Asthma,10.0,False
1055,2019,COPD,8.7,False
1055,2019,Current Asthma,9.9,False
1055,2020,COPD,8.5,False
1055,2020,Current Asthma,10.1,False
1055,2021,COPD,8.1,False
1055,2021,Current Asthma,10.7,False
1055,2022,COPD,8.2,False
1055,2022,Current Asthma,10.3,False
1069,2019,COPD,8.3,False
1069,2019,Current Asthma,10.2,False
1073,2019,COPD,7.0,False
1073,2019,Current Asthma,9.8,False
1073,2020,COPD,6.7,False
1073,2020,Current Asthma,9.8,False
1073,2021,COPD,6.1,False
1073,2021,Current Asthma,10.4,False
1073,2022,COPD,6.2,False
1073,2022,Current Asthma,9.9,False
1089,2019,COPD,6.1,False
1089,2019,Current Asthma,9.6,False
1089,2020,COPD,6.1,False
1089,2020,Current Asthma,9.3,False
1089,2021,COPD,5.6,False
1089,2021,Current Asthma,9.7,False
1089,2022,COPD,5.2,False
1089,2022,Current Asthma,9.4,False
1097,2019,COPD,8.0,False
1097,2019,Current Asthma,9.7,False
1097,2020,COPD,7.8,False
1097,2020,Current Asthma,10.3,False
1097,2021,COPD,7.6,False
1097,2021,Current Asthma,10.9,False
1097,2022,COPD,6.9,False
1097,2022,Current Asthma,9.8,False
1101,2019,COPD,7.2,False
1101,2019,Current Asthma,9.9,False
1101,2020,COPD,7.1,False
1101,2020,Current Asthma,10.7,False
1101,2021,COPD,6.8,False
1101,2021,Current Asthma,11.0,False
1101,2022,COPD,6.7,False
1101,2022,Current Asthma,10.8,False
1103,2019,COPD,8.0,False
1103,2019,Current Asthma,9.6,False
1103,2020,COPD,8.2,False
1103,2020,Current Asthma,9.8,False
1103,2021,COPD,7.7,False
1103,2021,Current Asthma,10.5,False
1103,2022,COPD,7.2,False
1103,2022,Current Asthma,9.9,False
1113,2019,COPD,8.3,False
1113,2019,Current Asthma,10.6,False
1113,2020,COPD,8.4,False
1113,2020,Current Asthma,10.9,False
1113,2021,COPD,7.9,False
1113,2021,Current Asthma,11.3,False
1113,2022,COPD,8.0,False
1113,2022,Current Asthma,11.1,False
1117,2019,COPD,5.7,False
1117,2019,Current Asthma,8.7,False
1117,2020,COPD,5.6,False
1117,2020,Current Asthma,9.0,False
1117,2021,COPD,5.2,False
1117,2021,Current Asthma,9.3,False
1117,2022,COPD,4.8,False
1117,2022,Current Asthma,9.4,False
1125,2019,COPD,7.5,False
1125,2019,Current Asthma,9.9,False
1125,2020,COPD,7.3,False
1125,2020,Current Asthma,10.1,False
1125,2021,COPD,7.0,False
1125,2021,Current Asthma,10.2,False
1125,2022,COPD,6.7,False
1125,2022,Current Asthma,10.2,False
2020,2019,COPD,5.0,False
2020,2019,Current Asthma,9.2,False
2020,2020,COPD,4.6,False
2020,2020,Current Asthma,9.2,False
2020,2021,COPD,5.3,False
2020,2021,Current Asthma,9.3,False
2020,2022,COPD,5.2,False
2020,2022,Current Asthma,10.6,False
2050,2019,COPD,11.6,True
2050,2019,Current Asthma,12.9,True
2090,2019,COPD,5.3,False
2090,2019,Current Asthma,9.5,False
2090,2020,COPD,5.0,False
2090,2020,Current Asthma,9.0,False
2090,2021,COPD,5.4,False
2090,2021,Current Asthma,9.1,False
2090,2022,COPD,5.0,False
2090,2022,Current Asthma,10.0,False
2110,2019,COPD,4.8,False
2110,2019,Current Asthma,9.2,False
2110,2020,COPD,4.5,False
2110,2020,Current Asthma,9.2,False
2110,2021,COPD,5.1,False
2110,2021,Current Asthma,9.3,False
2110,2022,COPD,5.2,False
2110,2022,Current Asthma,10.2,False
2170,2019,COPD,6.1,False
2170,2019,Current Asthma,9.5,False
2170,2020,COPD,5.7,False
2170,2020,Current Asthma,9.4,False
2170,2021,COPD,6.5,False
2170,2021,Current Asthma,9.7,False
2170,2022,COPD,6.2,False
